21:24:00.086 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Sprite sheet loaded successfully
21:24:00.088 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - PlayerShip initialized at position (400.0, 300.0)
21:24:00.088 [AWT-EventQueue-0] INFO  se233.asteroid888.model.Ship - Invincibility activated - Duration: 120 ticks
21:26:28.040 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 404.90, Y: 311.18, Angle: 0.00
21:26:28.040 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 404.90, Y: 311.18, Angle: 0.00
21:26:28.041 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:26:28.070 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 407.30, Y: 311.96, Angle: 0.00
21:26:28.070 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 407.30, Y: 311.96, Angle: 0.00
21:26:28.102 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 410.16, Y: 312.22, Angle: 0.00
21:26:28.102 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 410.16, Y: 312.22, Angle: 0.00
21:26:28.118 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 413.45, Y: 311.98, Angle: 0.00
21:26:28.118 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 413.45, Y: 311.98, Angle: 0.00
21:26:28.149 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 417.18, Y: 311.24, Angle: 0.00
21:26:28.149 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 417.18, Y: 311.24, Angle: 0.00
21:26:28.179 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 421.34, Y: 310.01, Angle: 0.00
21:26:28.179 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 421.34, Y: 310.01, Angle: 0.00
21:26:28.197 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:26:28.210 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 425.91, Y: 308.31, Angle: 0.00
21:26:28.211 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 425.91, Y: 308.31, Angle: 0.00
21:26:28.241 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 430.50, Y: 306.32, Angle: 0.00
21:26:28.241 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 430.50, Y: 306.32, Angle: 0.00
21:26:28.272 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 434.99, Y: 304.12, Angle: 0.00
21:26:28.272 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 434.99, Y: 304.12, Angle: 0.00
21:26:28.302 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 439.39, Y: 301.74, Angle: 0.00
21:26:28.302 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 439.39, Y: 301.74, Angle: 0.00
21:26:28.333 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 443.70, Y: 299.21, Angle: 0.00
21:26:28.333 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 443.70, Y: 299.21, Angle: 0.00
21:26:28.342 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Shot fired at angle: 0.0
21:26:28.364 [AWT-EventQueue-0] DEBUG se233.asteroid888.model.Ship - Ship position - X: 447.93, Y: 296.55, Angle: 0.00
